"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y","new.rt","log.rt","inverse.rt"
"2517",20,106,"youth","List1","ran",6,6,6,1,521,521,"unrelated","random","ran","dom",6,3,3,"opaque","consonant",116.606,2.070429479,18.2643,1.284753233,1.61153864,"random","low","low","high","high","B",521,6.25575004175337,1.91938579654511
"2518",20,107,"pillory","List1","dear",7,6,6,1,509,509,"unrelated","dearth","dear","th",6,2,4,"opaque","consonant",119.58,2.08127528,0.951884,0.290454004,7.16559332690214,"dearth","low","high","high","high","B",509,6.23244801655052,1.96463654223969
"2519",20,108,"hickory","List2","car",8,6,6,1,1050,1050,"unrelated","career","car","eer",6,3,3,"opaque","vowel",274.916,2.440776885,57.1725,1.764717728,1.383097617,"career","low","low","high","low","A",1050,6.95654544315157,0.952380952380952
"2520",20,109,"auditory","List2","rat",9,6,6,1,516,516,"unrelated","ratify","rat","ify",6,3,3,"opaque","vowel",8.68594,0.986141774,0.713913,0.233988773,4.214483273,"ratify","low","high","high","high","A",516,6.24610676548156,1.93798449612403
"2521",20,110,"testify","List2","fact",10,6,6,1,442,442,"unrelated","factory","fact","ory",7,3,4,"opaque","vowel",448.635,2.65286011,39.2652,1.604929861,1.65294457584216,"factory","low","low","high","high","A",442,6.0913098820777,2.26244343891403
"2522",20,111,"dearth","List2","pill",11,6,6,1,555,555,"unrelated","pillory","pill","ory",7,3,4,"opaque","vowel",13.8023,1.170329202,0.416449,0.151200942,7.740224226,"pillory","low","high","high","high","A",555,6.31896811374643,1.8018018018018
"2523",20,112,"career","List1","hick",12,6,6,1,427,427,"unrelated","hickory","hick","ory",7,3,4,"opaque","vowel",1.24935,0.352057037,1.13036,0.328452999,1.071864276,"hickory","low","low","high","low","B",427,6.05678401322862,2.34192037470726
"2524",20,113,"ratify","List1","audit",13,6,6,1,648,648,"unrelated","auditory","audit","ory",8,3,5,"opaque","vowel",1.6063,0.416024404,0.356957,0.132566086,3.138241562,"auditory","low","high","high","high","B",648,6.47389069635227,1.54320987654321
"2525",20,114,"factory","List1","test",14,6,6,1,645,645,"unrelated","testify","test","ify",7,3,4,"opaque","vowel",79.4228,1.905379189,5.23536,0.794861533,2.397120891,"testify","low","high","high","high","B",645,6.46925031679577,1.55038759689922
"2526",20,115,"boredom","List2","seed",15,6,6,1,482,482,"unrelated","seedling","seed","ling",8,4,4,"transparent","consonant",28.616,1.471526401,0.594928,0.202741082,7.258155965,"seedling","low","high","high","high","A",482,6.1779441140506,2.0746887966805
