"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y"
"1",7,1,"breadth","List1","bread",1,6,6,1,469,469,"related","breadth","bread","th",7,2,5,"opaque","consonant",76.9836,1.89200328,4.40246,0.73259156,2.58261681,"breadth","low","high","high","high","A"
"2",7,2,"hearth","List1","hear",2,6,6,1,497,497,"related","hearth","hear","th",6,2,4,"opaque","consonant",183.476,2.265939873,4.64044,0.751312984,3.01597326,"hearth","low","high","high","high","A"
"3",7,3,"youth","List1","you",3,6,6,1,504,504,"related","youth","you","th",5,2,3,"opaque","consonant",6334.67,3.801792548,63.4788,1.809416946,2.101114701,"youth","low","low","high","high","A"
"4",7,4,"kindling","List2","kind",4,6,6,1,667,667,"related","kindling","kind","ling",8,4,4,"opaque","consonant",409.846,2.613679063,0.951884,0.290454004,8.998598807,"kindling","low","high","high","high","B"
"5",7,5,"dumpling","List2","dump",5,6,6,1,502,502,"related","dumpling","dump","ling",8,4,4,"opaque","consonant",7.67457,0.938247956,0.356957,0.132566086,7.077586563,"dumpling","low","high","high","high","B"
"6",7,6,"random","List2","ran",6,6,6,1,1141,1141,"related","random","ran","dom",6,3,3,"opaque","consonant",116.606,2.070429479,18.2643,1.284753233,1.61153864,"random","low","low","high","high","B"
"7",7,7,"dearth","List2","dear",7,6,6,1,687,687,"related","dearth","dear","th",6,2,4,"opaque","consonant",119.58,2.08127528,0.951884,0.290454004,7.16559332690214,"dearth","low","high","high","high","B"
"8",7,8,"career","List1","car",8,6,6,1,827,827,"related","career","car","eer",6,3,3,"opaque","vowel",274.916,2.440776885,57.1725,1.764717728,1.383097617,"career","low","low","high","low","A"
"9",7,9,"ratify","List1","rat",9,6,6,1,480,480,"related","ratify","rat","ify",6,3,3,"opaque","vowel",8.68594,0.986141774,0.713913,0.233988773,4.214483273,"ratify","low","high","high","high","A"
"10",7,10,"factory","List1","fact",10,6,6,1,607,607,"related","factory","fact","ory",7,3,4,"opaque","vowel",448.635,2.65286011,39.2652,1.604929861,1.65294457584216,"factory","low","low","high","high","A"
"11",7,11,"pillory","List1","pill",11,6,6,1,611,611,"related","pillory","pill","ory",7,3,4,"opaque","vowel",13.8023,1.170329202,0.416449,0.151200942,7.740224226,"pillory","low","high","high","high","A"
"12",7,12,"hickory","List2","hick",12,6,6,1,555,555,"related","hickory","hick","ory",7,3,4,"opaque","vowel",1.24935,0.352057037,1.13036,0.328452999,1.071864276,"hickory","low","low","high","low","B"
"13",7,13,"auditory","List2","audit",13,6,5,0,441,NA,"related","auditory","audit","ory",8,3,5,"opaque","vowel",1.6063,0.416024404,0.356957,0.132566086,3.138241562,"auditory","low","high","high","high","B"
"14",7,14,"testify","List2","test",14,6,6,1,501,501,"related","testify","test","ify",7,3,4,"opaque","vowel",79.4228,1.905379189,5.23536,0.794861533,2.397120891,"testify","low","high","high","high","B"
"15",7,15,"seedling","List1","seed",15,6,6,1,533,533,"related","seedling","seed","ling",8,4,4,"transparent","consonant",28.616,1.471526401,0.594928,0.202741082,7.258155965,"seedling","low","high","high","high","A"
"16",7,16,"warmth","List1","warm",16,6,6,1,469,469,"related","warmth","warm","th",6,2,4,"transparent","consonant",94.177,1.978532012,24.987,1.414756146,1.398496848,"warmth","low","low","high","low","A"
"17",7,17,"fourth","List1","four",17,6,6,1,439,439,"related","fourth","four","th",6,2,4,"transparent","consonant",319.714,2.506117918,45.274,1.665337042,1.504871298,"fourth","low","low","high","high","A"
"18",7,18,"boyhood","List1","boy",18,6,6,1,430,430,"related","boyhood","boy","hood",7,4,3,"transparent","consonant",223.871,2.351933451,4.52145,0.742053144,3.16949462,"boyhood","low","high","high","high","A"
"19",7,19,"eleventh","List1","eleven",19,6,6,1,489,489,"related","eleventh","eleven","th",8,2,6,"transparent","consonant",40.0386,1.613192537,4.69993,0.755869522,2.134220904,"eleventh","low","low","high","high","A"
"20",7,20,"sixth","List1","six",20,6,6,1,581,581,"related","sixth","six","th",5,2,3,"transparent","consonant",203.227,2.310113158,16.063,1.232055391,1.875007547,"sixth","low","low","high","high","A"
"21",7,21,"duckling","List1","duck",21,6,6,1,741,741,"related","duckling","duck","ling",8,4,4,"transparent","consonant",9.8758,1.036461213,0.297464,0.113095317,9.164492672,"duckling","low","high","high","high","A"
"22",7,22,"stardom","List1","star",22,6,6,1,504,504,"related","stardom","star","dom",7,3,4,"transparent","consonant",54.6738,1.745650865,1.13036,0.328452999,5.314766085,"stardom","low","high","high","high","A"
"23",7,23,"manhood","List1","man",23,6,6,1,436,436,"related","manhood","man","hood",7,4,3,"transparent","consonant",1024.11,3.01077047,6.06826,0.849312516,3.5449500740138,"manhood","low","high","high","high","A"
"24",7,24,"boredom","List2","bore",24,6,6,1,547,547,"related","boredom","bore","dom",7,3,4,"transparent","consonant",28.497,1.469777848,15.2301,1.210321196,1.214370079,"boredom","low","low","high","low","B"
"25",7,25,"tenth","List2","ten",25,6,6,1,456,456,"related","tenth","ten","th",5,2,3,"transparent","consonant",219.647,2.343698027,10.5302,1.061836841,2.207211065,"tenth","low","low","high","high","B"
"26",7,26,"freedom","List2","free",26,6,6,1,563,563,"related","freedom","free","dom",7,3,4,"transparent","consonant",209.652,2.323565587,101.673,2.011456252,1.155165857,"freedom","low","low","high","low","B"
"27",7,27,"kingdom","List2","king",27,6,6,1,474,474,"related","kingdom","king","dom",7,3,4,"transparent","consonant",91.7378,1.967256789,28.973,1.476730214,1.332170744,"kingdom","low","low","high","low","B"
"28",7,28,"sapling","List2","sap",28,6,6,1,605,605,"related","sapling","sap","ling",7,4,3,"transparent","consonant",2.79616,0.579344509,0.713913,0.233988773,2.475950017,"sapling","low","high","high","high","B"
"29",7,29,"earthling","List2","earth",29,6,6,1,512,512,"related","earthling","earth","ling",9,4,5,"transparent","consonant",161.999,2.21218494,0.237971,0.092710471,23.861219690479,"earthling","low","high","high","high","B"
